symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
ADU;Adamus Resources Pty Ltd;31/10/2016;0.13;0.71;0.68;7.14;26.32;322240000;0;0;0;0;0;0;0;0;0.03;0.05;0.67;18.01;18.01;30.06;30.06;274.8;274.8;458.8;458.8;0.02;58.01;65.8;58.01;45.66;57.37;45.66;321.02;119.82;321.02;0.49;453.43;0;28.82;5.61;201.3;201.3;0;115.03;0;0;0;0;0;0.128024
GBR;Great Boulder Resources Ltd;31/03/2015;0;0.14;0;0;5.24;5010000;0;0;0;0;0;0;0;0;0.03;0.04;2.9;0;0;1.93;0;0;0;2.83;0;0;0;0;0;0;0;0;0;0;0;0;34.7;0;0;0;0;0;0;0;0;0;0;17500;51035;0.129326
ISG;ISHMSINGA CDI 1:1;31/05/2011;0;28.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;2247;0.135125
SCD;Scantech Limited;31/07/2013;0.05;0;0.55;32.97;0.8;0;0;0;0;0;0;0;0;0;0.76;0.42;3.08;9.46;9.46;9.46;9.46;15.04;15.04;15.04;15.04;0;6.17;7.74;6.17;4.71;5.44;4.71;7.58;9.82;7.58;0.93;0.21;0;51.33;8.88;9.38;7.32;17.07;0.11;5.78;17.06;11.85;0;0;0.132848
HPR;High Peak Royalties Ltd;31/07/2015;0.03;0.04;0.05;49.33;0.54;6340000;0;0;0;0;0;0;0;0;0.07;0.01;9.62;0;0;0;0;0;0;0;0;184.42;32.48;20.82;32.48;32.07;20.22;32.07;32.95;21.12;32.95;1.15;80.79;0;0;355.75;2475.32;2477;0;0.47;81.89;0;0;0;22127;0.13082
ARG;Argo Investments Limited;30/04/2011;0.32;7.62;7.34;0.39;1.2;5260000000;23.79;0.16;0.16;0.3;0.3;0.3;4.01;166.09;6.34;0.14;20.83;0;0;0;0;0;0;0;0;0;4.38;4.48;4.38;4.37;4.46;4.37;4.96;5.03;4.96;0.52;668.5;0;99.93;96.42;101.13;94.85;4.68;4.07;5.41;2.62;0.52;107812;142095;0.136218
OGY;Orca Energy Ltd;31/03/2015;0;0.01;0.01;0;1.3;5560000;0;0;0;0;0;0;0;0;0.01;0.01;52.32;0;0;0;0;0;0;0;0;0;18.59;25.07;18.59;17.99;23.45;17.99;18.59;25.16;18.59;0.96;300.47;0;0;0;0;0;0;0;0;0;0;0;0;0.131737
EXO;Ennox Group Ltd;31/08/2010;0.01;0;0;25;1.17;1160000;0;0;0;0;0;0;0;0;0;0;4.43;0;0;0;0;0;0;0;0;0;97.51;74.41;97.51;67.86;56.21;67.86;97.8;75.02;97.8;0.02;83.17;0;0;0;0;0;0;0;0;0;0;0;448099;0.13876
IVR;Investigator Resources Ltd;31/12/2011;0;0.04;0.04;290;0.61;23420000;0;0;0;0;0;0;0;0;0.06;0;3.99;0;0;0;0;0;0;0;0;0;0.79;6.75;0.79;0.78;6.54;0.78;0.79;6.76;0.79;0.75;574.84;0;0;2467.79;2643.26;286.15;0;27.56;0;0;0;173395;601240;0.137719
SSLPA;Sietel Limited;30/11/2015;0.2;1;0;0;0;34110000;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133253
SLM;Salmat Limited;31/10/2012;0.05;0.62;0.51;4.31;1.15;123790000;0;0;0;0;0;0;0;0;0.54;0.26;1.02;9.79;9.79;13.11;13.11;25.45;25.45;34.07;34.07;0.74;4.91;5.21;4.91;2.55;3.83;2.55;8.86;9.01;8.86;1.39;154.32;0;0;3.43;0.03;1.34;0;12.2;1.56;0;0;0;11609;0.137247
MBC;Malabar Coal Ltd;31/10/2016;0.01;0;0.17;421.58;2.74;0;0;0;0;0;0;0;0;0;0.18;0.01;2.42;13.26;13.26;13.26;13.26;20.54;20.54;20.54;20.54;3.51;3.62;0;3.62;3.69;0;3.69;6.08;0;6.08;0.4;23.64;0;0;352.97;372.51;478.52;0;0;0;0;0;0;105910;0.132732
GIPNB;GIPPSLAND DEF;31/08/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.140767
ARS;Alt Resources Ltd;31/03/2011;0.02;0.1;0.12;14.81;1.97;6840000;0;0;0;0;0;0;0;0;0.06;0;1.2;0.85;0.85;1.04;1.04;0.92;0.92;1.12;1.12;467.85;0;0;65.64;0;0;61.34;0;0;66.32;0;20.19;0;0;10269.85;10969.61;10993.12;0;0;0;0;0;32438;46761;0.140151
CDV;Cardinal Resources Ltd;31/07/2016;0.05;0.25;0.36;108.33;14.06;77520000;0;0;0;0;0;0;0;0;0.02;0.02;2.91;0;0;0;0;0;0;0;0;0;378.06;127.77;378.06;265.85;117.04;265.85;378.06;127.77;378.06;2.69;249.41;0;0;21115.97;21333.15;21327.8;0;190.85;0;0;0;136731;322781;0.133847
AEV;Avenira Ltd;31/03/2010;0.03;0.11;0.19;10;0.89;57950000;0;0;0;0;0;0;0;0;0.12;0.05;7.83;0;0;0;0;0;0;0;0;38.06;18.09;19.06;18.09;16.04;18.37;16.04;19.73;19.52;19.73;1.02;215.31;0;0;1061.43;1362.74;1391.05;0;12.73;0;0;0;50000;65641;0.141904
SMN;Structural Monitoring Systems plc;31/03/2013;0.03;1.55;2.06;3.57;44.87;158780000;0;0;0;0;0;0;0;0;0.03;0.03;18.32;0;0;0;0;0;0;0;0;0;139.38;266.46;139.38;129.63;187.52;129.63;139.38;266.46;139.38;2.07;58.77;0;13.12;2194.84;2194.84;2177.4;0;16.67;19.99;0;0;243964;159924;0.138309
ADYN;ADMIRALTY DEF;31/01/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133224
QAN;Qantas Airways Limited;31/10/2013;0.49;3.5;3.2;11.14;2.01;6410000000;7.16;0.07;0.07;0.07;0.07;0.07;2.04;0;1.71;1.04;0.49;26.47;26.47;29.11;29.11;135.82;135.82;149.37;149.37;7.25;10.43;2.54;10.43;6.01;1.58;6.01;30.73;6.73;30.73;1.18;1744.98;0;33.59;16.81;10.14;6.35;32.71;1.7;1.72;34.95;7.11;6940000;6090000;0.138848
IND;Indus Energy NL;31/03/2012;0;0.02;0.01;61.54;2.38;3310000;0;0;0;0;0;0;0;0;0.01;0.01;12.72;0;0;0;0;0;0;0;0;50.48;25.73;48.77;25.73;22.89;46.95;22.89;25.73;48.69;25.73;0.69;100.79;0;0;2259.63;1887.65;1932.41;0;36.9;29.86;0;0;0;0;0.140349
DRMN;DORAY MIN DEF;31/10/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.139682
PCAPA;Preferred Capital Perpetual;31/07/2011;0;201.01;198.59;1.39;2663.81;0;0;0;1.14;0;4.69;0;2.34;0;0.08;0.07;1;0;0;99.44;99.42;0;0;266314.2;266314.2;0;0;0.19;0;0;0.17;0;6.6;232.72;5.39;0.1;0;0;0.12;0.11;0.11;0.1;57.54;6.39;0;57.55;0;77304;0;0.144331
DAU;Dampier Gold Ltd;31/05/2017;0.01;0.03;0.03;25;1.34;2870000;0;0;0;0;0;0;0;0;0.02;0.02;3.11;0;0;0;0;0;0;0;0;0;24.38;37.08;24.38;20.99;35.05;20.99;30.71;48.44;30.71;0.87;30.83;0;0;1503.45;1506.09;1506.09;0;42.73;0;0;0;0;45417;0.136574
ZAMN;ZAMANCO DEF X OPT;31/10/2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.143769
GRY;Gryphon Minerals Limited;30/04/2011;0.02;0;0.14;253.45;4.28;0;0;0;0;0;0;0;0;0;0.05;0.03;3.64;0;0;0;0;0;0;0;0;174.02;40.78;15.92;40.78;37.11;15.17;37.11;39.26;15.86;39.26;0.81;425.7;0;0;406.44;439.16;441.67;0;3.62;37.95;0;0;0;1300000;0.145289
LSX;Lion Selection Group Ltd;30/04/2013;0.09;0.45;0.33;125;1.17;48110000;5.07;0;0;0;0;0;0;0;0.39;0.12;163.36;0;0;0;0;0;0;0;0;0;30.3;19.44;30.3;30.24;19.42;30.24;30.3;19.44;30.3;1.27;69.37;0;0;305.99;305.99;3247.6;1.38;28.39;17.48;5.04;13.53;4811;24939;0.142946
MNC;Metminco Limited;31/05/2017;0.87;0.08;0.15;60;0.03;6950000;0;0;0;0;0;0;0;0;2.83;0.02;2.01;0;0;0;0;0;0;0;0;65.9;25.08;11.49;26.42;24.87;11.39;26.32;25.4;11.5;26.42;1.83;77.58;0;0;345472.3;3730000;3710000;0;0;0;0;0;139622;105580;0.137738
GCL;Gloucester Coal Ltd;30/09/2014;0;3.54;4.37;30.28;0.58;718290000;0;0;0;0;0;0;0;0;6.11;1.1;2.09;1.83;16.78;7.38;16.95;2.42;31.39;9.77;31.7;0;0.34;16.24;7.61;0.31;13.8;6.79;0.53;19.82;9.13;1.14;103.75;0;15.61;9.85;0.36;1.39;6.23;14.81;0;3.32;0;0;0;0.141841
ZGM;Zamia Metals Limited;31/12/2010;0;0.01;0;100;0;4320000;0;0;0;0;0;0;0;0;0;0;0.06;0;0;681.51;681.51;0;0;0;0;9.16;0;494.95;0;330.51;208.44;330.51;0;498.92;0;3.2;107.65;0;0;590.17;604.4;667.36;0;6.83;0;0;0;0;0;0.147392
EAX;Energy Action Ltd;31/12/2011;0.02;0.98;1.21;8.43;2.09;25440000;0;0.04;0.04;0.06;0.06;0.06;6.55;1;0.46;0.04;1.1;16.7;16.7;16.7;16.7;33.09;33.09;33.09;33.09;15.38;2.56;12.44;2.56;1.82;9.55;1.82;3.52;14.35;3.52;0.42;12.16;0;81.83;19.26;3.55;1.32;0;19.42;0;0;0;4164;1942;0.146695
MLI;Mintails Limited;31/05/2010;0.14;0.02;0.02;0;0;5330000;0;0;0;0;0;0;0;0;0.12;0;0.24;0;0;0;0;0;0;0;0;2.44;57.24;34.07;57.24;61;33.78;61;73.61;38.61;73.61;0;101.98;0;5.57;11.05;63.44;79.7;0;1.15;53.95;0;0;0;0;0.148249
OLH;Oldfields Holdings Limited;31/08/2017;0.01;0.03;0.03;25;0.75;2470000;0;0;0;0;0;0;0;0;0.04;0.02;1.59;17.5;17.5;31.12;31.12;77.95;77.95;138.6;138.6;0.92;7.8;3.29;7.8;4.69;1.53;4.69;26.27;11.11;26.27;0.85;7.38;0;40.25;3.05;1.3;2.54;0;1.46;0.9;0;0;0;115789;0.138777
EWE;East West Energy Ltd;30/04/2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0.26;0;0;93.48;93.48;0;0;0;0;5.14;0;40.14;0;0;33.67;39.96;0;40.14;0;0.48;19.14;0;0;0;0;0;0;17.51;0;0;0;0;0;0.145681
OTR;Onterran Ltd;31/01/2019;0.03;0.31;4.03;98.4;1.74;152170000;0;0;1.12;0;1.12;0;248.89;0;0.26;0.15;1.15;3.99;4.06;9.14;7.21;16.49;15.83;37.79;28.11;21.44;7.31;15.48;95.15;2.62;8.09;45.65;8.64;15.69;103.43;7.3;31.18;0;7.57;0.8;0.47;0.54;0;17.91;4.57;0;0;625;39395;0.136262
CVN;Carnarvon Petroleum Limited;30/09/2019;0.01;0.1;0.1;16.67;0.74;101090000;0;0;0;0;0;0;0;0;0.13;0.09;37.59;0;0;0;0;0;0;0;0;0;3.91;2.75;3.91;3.87;2.67;3.87;3.92;3.37;3.92;1.37;853.3;0;0;0;0;0;0;0;0;0;0;330876;1030000;0.136554
LNK;Link Administration Holdings Ltd;30/04/2017;0.12;7.77;7.99;0.79;4.75;2800000000;67.49;0.08;0.08;0.08;0;0.08;0;0;1.62;0.08;0.8;25.29;25.29;25.31;25.31;50.19;50.19;50.23;50.23;6.77;4.45;0;4.45;3.74;0;3.74;13.34;0;13.34;0;328.34;0;0;21.6;10.27;5.47;0;0;0;0;0;856734;1320000;0.139622
SAP;Sabina Corporation Limited;31/12/2017;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;44.56;44.56;0;0;0;0;3.39;0;23.66;0;23.47;12.61;23.47;0;23.66;0;0;19.37;0;0;0;0;0;0;0;0;0;0;0;0;0.140299
GXNCA;GLOBAL MTL CTG;31/07/2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.140309
TIX;360 Capital Industrial Fund;30/09/2018;0.24;2.47;2.63;1.65;1.04;523530000;10.42;0.11;0.05;0.22;0.22;0.22;8.77;42.37;2.37;0.02;1.46;42.26;42.26;42.26;42.26;77.79;77.79;77.79;77.79;0;6.58;6.45;6.58;6.44;6.01;6.44;11.6;12.13;11.6;0.3;204.56;0;83.63;73.91;63.13;65.39;70.08;18.51;0;28.16;0;155254;191796;0.139454
CNP;Centro Properties Ltd;31/08/2019;2.84;0.04;0;0;0;38900000;0.01;0;0;0;0;0;0;0;0;0.91;1.19;0;0;74.1;74.1;0;0;0;0;0;54.6;10.42;54.6;23.78;6.13;23.78;0;772.21;0;2.9;852.72;0;96.3;56.83;208.29;210.04;32.81;9.58;25.86;28.01;30.45;0;7;0.138208
RGS;Regeneus Ltd;31/03/2019;0.02;0.17;0.15;88.89;7.42;34470000;0;0;0;0;0;0;0;0;0.02;0;3.48;0;0;0;0;0;0;0;0;244.79;53.95;130.35;53.95;46.07;81.16;46.07;54.74;132.82;54.74;0.8;131.57;0;84.46;189.27;190.33;190.33;0;19.03;0;0;0;35384;360948;0.139581
NST;Northern Star Resources Ltd;31/08/2015;0.27;3.95;4.26;28.17;5.41;2370000000;14.41;0.04;0.03;0.07;0.07;0.07;1.72;36.01;0.75;0.53;2.3;0.64;0.64;1.84;1.84;1.08;1.08;3.11;3.11;0;32.07;26.1;32.07;24.37;20.59;24.37;42.66;34.29;42.66;1.1;578.58;0;34.79;49.69;30.25;21.04;58.97;46.8;143.1;44.63;0;4720000;3460000;0.146496
ICQ;iCar Asia Ltd;31/05/2019;0.05;0.25;0.52;74.48;1.47;78630000;0;0;0;0;0;0;0;0;0.17;0.07;6.33;1.08;0;1.08;1.26;1.18;0;1.18;1.42;0;35.81;46.15;32.51;31.9;39.8;29.2;36.16;48.51;32.95;1.93;245.8;0;95.78;158.59;177.1;171.67;0;283.58;0;0;0;54348;172833;0.140887
MWR;MGM Wireless Limited;31/12/2011;0.06;0.73;0.73;29.47;1.36;6340000;12.95;0.01;0.01;0.01;0.01;0.01;1.78;0.09;0.54;0.16;2.8;1.97;1.97;1.97;1.97;2.47;2.47;2.47;2.47;10.07;11.18;24.67;11.18;9.16;19.3;9.16;11.52;26.64;11.52;1.56;5.16;0;87.91;51.63;4.03;19.56;14.41;1.5;2.6;11.22;0;360;1826;0.152236
ING;Inghams Group Ltd;31/12/2017;0;3.14;0;0;0;1190000000;0;0;0;0;0;0;0;0;0;0.23;1.56;54.98;0;57.22;0;0;0;0;0;3.27;0;0;4.54;0;0;2.78;0;0;0;0;240.17;0;0;0;0;0;0;0;0;0;0;236760;578900;0.144256
ORNDC;ORION GOLD DEF SET;30/04/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142627
IJP;ISHMSJAP CDI 1:1;31/12/2011;0;66.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4295;7214;0.154472
CLXBN;CTI LOGIST BNS DEF;31/10/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.149195
HAZN;HAZELWOOD DEF;31/08/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14421
MYQ;MyFiziq Ltd;31/07/2019;0.03;0.05;0.05;58.89;0.89;2140000;0;0;0;0;0;0;0;0;0.04;0.03;16.54;0;0;0;0;0;0;0;0;5024.69;0;0;72.54;0;0;68.37;0;0;72.54;0;43.51;0;0;1310.79;1315.2;1271.76;0;0;0;0;0;414000;74408;0.144298
RCP;Redbank Copper Ltd;31/10/2017;0;0;0;0;0;4680000;0;0;0;0;0;0;0;0;0;0;0.34;0;0;70.41;70.41;0;0;0;0;48.19;393.65;102.12;393.65;174.17;69.1;174.17;589.47;108.69;589.47;0;829.6;0;0;13665.32;62727.55;59218.31;0;36.81;25.74;0;0;0;426599;0.148038
RTA;Rutila Resources Ltd;31/08/2016;0.19;0;0.22;63.89;0;0;0;0;0;0;0;0;0;0;0.01;0.02;0.89;95.3;0;95.3;102.54;0;0;0;0;1.34;5319.82;0;33.4;39.53;0;17.92;5319.82;0;258.8;0.88;0.71;0;0;20563.54;20700.05;30358.45;0;0;0;0;0;0;11958;0.149596
PKA;PLUKKA FPO;31/03/2018;0;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2833;0.146875
RCR;RCR Tomlinson Limited;30/09/2015;0.06;2.84;2.24;48.37;1.33;397500000;44.77;0;0.02;0;0.09;0.02;3.39;12.97;2.06;0.11;1.02;3.88;3.88;13.06;13.06;7.34;7.34;24.7;24.7;3.32;2.65;11.03;2.65;1.59;6.6;1.59;2.97;12.36;2.97;1.44;128.4;0;5.11;3.94;0.97;1.01;14.39;7.96;12.57;15.18;9.13;1250000;275329;0.151622
KHFPA;KH Foods Limited;30/04/2014;0;2.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15314
MOVDA;MOORE AUST DEF SET;31/01/2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.159391
CSE;Copper Strike Limited;28/02/2017;0;0.25;0.34;0;0.55;26710000;158.23;0;0;0;0;0;0;0;0.46;0.01;30.98;0;0;0;0;0;0;0;0;4.74;0.3;0.41;0.3;0.3;0.41;0.3;0.41;0.56;0.41;0.2;42.45;0;0;1830.18;1950.89;1142.94;0;60.09;20.74;0;0;0;15687;0.14948
FFI;FFI Holdings Ltd;30/04/2012;0.21;3.68;3.45;0;1.16;37880000;17.15;0.11;0.11;0.19;0.27;0.19;7.34;0.62;3.18;0.16;2.63;9.76;9.76;9.76;9.76;14.09;14.09;14.09;14.09;20.5;5.2;7.15;5.2;4.76;6.36;4.76;6.79;9.05;6.79;0.22;2.15;0;50.42;11.7;9.77;6.66;2.81;0.35;4.14;7.04;1.12;0;1282;0.157641
PTL;Pental Ltd;30/09/2019;0.04;0.57;0.61;13.74;0.93;77660000;14.11;0.02;0.02;0.03;0.03;0.03;5.22;3.82;0.61;0.09;2.18;0;0;0.34;0.34;0;0;0.43;0.43;129.41;6.8;8.35;6.8;5.55;5.9;5.55;6.83;9.45;6.83;0.78;22.12;0;48.76;13.53;10.34;7.03;0.63;13.65;3.57;38.74;26.83;27650;40759;0.14746
LSL;Luminus Systems Ltd;31/10/2010;0.03;0.05;0.04;21.05;0.28;1080000;0;0;0;0;0;0;0;0;0.16;0;0.02;0;0;32.54;0;0;0;51.78;0;0.98;17.27;7.29;7.7;15.11;5.62;5.25;28.73;8.13;7.99;3.26;19.59;0;0;0;0;0;0;0;0;0;0;0;0;0.161291
DRA;Dragon Mining Limited;28/02/2011;0.04;0.28;0.27;80.65;0.93;24880000;6.66;0;0;0;0;0;0;0;0.3;0.16;3.37;0;0;0;0;0;0;0;0;0;7.82;10.38;6.45;6.25;7.86;5.25;11.01;13.49;10.26;0.97;24.03;0;10.92;10.15;1.53;4.91;32.28;3.51;0;34.43;0;24780;65988;0.159984
MYO;Myob Group Ltd;30/06/2015;0.1;3.53;3.58;17.65;2.44;2120000000;36.53;0.06;0.06;0.05;0.1;0.1;2.92;0;1.48;0.06;0.82;31.37;30.54;31.37;30.57;50.12;50.42;50.12;50.47;0.67;3.79;0;3.34;3.49;0;2.9;5.78;0;8.8;0;266.18;0;93.42;45.1;23.8;14.14;0;0;0;0;0;3410000;590757;0.154567
MRD;Mount Ridley Mines Ltd;31/08/2010;0;0.01;0.01;0;4.79;9750000;0;0;0;0;0;0;0;0;0;0;6.2;0;0;0;0;0;0;0;0;0;106.53;229.06;106.53;94.54;148.79;94.54;106.53;229.06;106.53;3.27;1108;0;0;16001.19;16073.41;11181.13;0;24.29;13.18;0;0;6700000;7420000;0.162325
MKO;Metaliko Resources Limited;31/05/2015;0.01;0.07;0.07;159.26;3.2;30910000;0;0;0;0;0;0;0;0;0.02;0;3.55;0;0;0;0;0;0;0;0;0;38.05;25.95;38.05;35.55;22.62;35.55;38.05;25.95;38.05;0.05;99.64;0;0;10432.04;12331.96;15130.27;0;30.37;0;0;0;0;82280;0.156227
PLV;Pluton Resources Limited;31/03/2011;0.03;0.01;0;0;0;72060000;0.45;0;0;0;0;0;0;0;0;0.01;0.21;0;0;2.15;6.19;0;0;96.19;14.37;33.58;39.86;39.99;113;22.97;33.32;72.31;85.42;45.37;185.97;0;2529.39;0;27.56;10.14;31.75;31.75;0;142.32;0;0;0;0;0;0.162352
BGS;Birimian Ltd;31/10/2013;0;0.36;0.32;568.83;4.57;66140000;0;0;0;0;0;0;0;0;0.07;0.05;10.52;0;0;0;0;0;0;0;0;211.18;13.22;35.2;13.22;12.39;33.59;12.39;13.31;36.22;13.31;1.38;134.73;0;0;7184.75;8117.3;8151.56;0;9.35;0;0;0;2100000;797328;0.159358
DMG;Dragon Mountain Gold Limited;31/10/2010;0;0.01;0.02;0;0.8;2900000;0;0;0;0;0;0;0;0;0.01;0.01;270.77;0;0;0;0;0;0;0;0;0;16.65;0.43;16.65;16.55;0.38;16.55;16.65;9.48;16.65;0.73;145.54;0;0;394.8;549.2;549.2;0;0;7.86;0;0;0;873078;0.163899
GOW;Gowing Bros. Limited;31/03/2019;0.41;3.5;3.43;9.38;0.95;187840000;8.56;0.06;0.06;0.12;0.12;0.12;3.43;6.16;3.7;0.39;0.73;7.44;7.44;17.29;17.29;10.58;10.58;24.56;24.56;0;8.75;6.1;8.75;8.03;5.86;8.03;11.41;8.15;11.41;0.52;23.14;0;86.42;37.66;142.01;99.31;27.44;6.06;10.65;27.79;2.2;0;13273;0.150376
TSV;Transerv Energy Ltd;30/06/2019;0.01;0.01;0.01;73.81;0.2;9190000;0;0;0;0;0;0;0;0;0.06;0;5.33;0;0;0;0;0;0;0;0;3.11;10.07;5.66;10.07;9.33;5.29;9.33;11.73;5.56;11.73;0.6;414.43;0;3.62;5533.72;18778.33;15514;0;0;0;0;0;200000;1690000;0.150409
AD1;APPLYDIRCT FPO;31/05/2012;0;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77751;92353;0.161443
MNS;Magnis Resources Ltd;31/07/2016;0.03;0.8;0.76;107.79;49.94;362410000;0;0;0;0;0;0;0;0;0.02;0.02;10.67;0;0;0;0;0;0;0;0;41.75;262.33;228.64;262.33;223.13;163.56;223.13;264.54;234.66;264.54;1.3;359.62;0;0;37178.22;32431.73;33324.41;0;46.09;15.17;0;0;0;1150000;0.155479
MRN;Macquarie Media Ltd;31/01/2013;0.08;0.9;0.91;6.47;0.89;154760000;10.77;0;0.02;0.02;0.02;0.02;2.21;3.42;1.02;0.1;1.61;16.42;16.42;16.42;16.42;23.36;23.36;23.36;23.36;13.94;6.81;6.35;6.81;6;5.3;6;8.46;7.55;8.46;0.26;16.98;0;0;18.98;16.91;10.59;20.05;16.11;12.5;3.23;1.98;1000;2001;0.160119
NWSLV;Twenty-First Century Fox Inc;28/02/2017;3;16.02;0;0;0;34030000000;5.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3065;2493;0.154213
CBSDA;Cabral Resources Ltd;30/11/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.58;0;0;0;0;0;0;0;0;28.79;124.15;30.97;124.15;118.87;30.06;118.87;124.97;31.06;124.97;0;1.77;0;0;1060.84;8424.18;8465.41;0;85.66;24.31;0;0;0;0;0.164019
PLH;Plymouth Minerals Ltd;31/10/2018;0.03;0.19;0.18;208.33;3.46;25470000;0;0;0;0;0;0;0;0;0.05;0.03;19.35;0;0;0;0;0;0;0;0;0;59.29;40.63;59.29;59.79;39.02;59.79;53.72;37.91;53.72;2.7;102;0;0;101809.3;191637;190397.2;0;0;0;0;0;143189;73176;0.153577
TPD;Talon Petroleum Ltd;31/08/2012;0.01;0.01;0.01;33.33;2.11;1520000;0;0;0;0;0;0;0;0;0;0;14.08;0;0;0;0;0;0;0;0;46.48;83.61;0;112.98;77.67;0;95.17;127.25;0;154.19;1.96;75.6;0;9.53;252.28;701.28;708.15;0;0;0;0;0;0;4760;0.162878
LCY;Legacy Iron Ore Limited;30/09/2010;0;0.01;0.01;100;0.57;8810000;0;0;0;0;0;0;0;0;0.01;0;32.53;0;0;0.64;0.52;0;0;0.65;0.53;114.78;8.27;0;8.88;8.18;0;8.76;8.3;0;8.92;2.27;265.04;0;0;674.19;699.75;705.89;0;0;0;0;0;1000000;1260000;0.166518
NWS;News Corp;31/08/2013;0;16.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79935;159481;0.162633
