symbol;name;issue_date;EPS;QuoteLast;Price200DayAverage;Price52WeekPercChange;PriceToBook;MarketCap;PE;DividendRecentQuarter;DividendNextQuarter;DPSRecentYear;IAD;DividendPerShare;DividendYield;Dividend;BookValuePerShareYear;CashPerShareYear;CurrentRatioYear;LTDebtToAssetsYear;LTDebtToAssetsQuarter;TotalDebtToAssetsYear;TotalDebtToAssetsQuarter;LTDebtToEquityYear;LTDebtToEquityQuarter;TotalDebtToEquityYear;TotalDebtToEquityQuarter;AINTCOV;ReturnOnInvestmentTTM;ReturnOnInvestment5Years;ReturnOnInvestmentYear;ReturnOnAssetsTTM;ReturnOnAssets5Years;ReturnOnAssetsYear;ReturnOnEquityTTM;ReturnOnEquity5Years;ReturnOnEquityYear;Beta;Float;InstitutionalPercentHeld;GrossMargin;EBITDMargin;OperatingMargin;NetProfitMarginPercent;NetIncomeGrowthRate5Years;RevenueGrowthRate5Years;RevenueGrowthRate10Years;EPSGrowthRate5Years;EPSGrowthRate10Years;Volume;AverageVolume;LGD
SVL;Silver Mines Limited;30/11/2019;0.12;0.17;0.2;65;1.31;63360000;0;0;0;0;0;0;0;0;0.13;0.03;1.9;0;0;0;0;0;0;0;0;14.25;23.01;25.69;23.01;19.65;23.77;19.65;23.01;25.71;23.01;1.79;337.63;0;0;38744.68;39547.61;42272.22;0;30.47;0;0;0;559350;1160000;0.890573
FNT;Frontier Resources Ltd.;31/03/2018;0.02;0.03;0.04;108.35;0;2000000;0;0;0;0;0;0;0;0;0;0;0.17;0;0;0;0;0;0;0;0;0;240.88;83.19;240.88;107.78;72.99;107.78;240.88;83.19;240.88;2.15;51.88;0;0;142.29;224.5;224.5;0;31.27;13.16;0;0;15000;62956;0.900013
ECX;Eclipx Group Ltd;30/11/2015;0.19;3.7;3.71;20.66;1.44;978590000;19.91;0.07;0.07;0.14;0.14;0.14;3.74;25.24;2.55;0.24;1.38;49.16;49.16;62.6;62.6;168.69;168.69;214.79;214.79;2.22;2.74;0;2.74;2.19;0;2.19;7.58;0;7.58;0;226.71;0;61.53;67.12;14.78;9.09;0;0;0;0;0;357416;431864;0.926936
CDM;Cadence Capital Limited;31/08/2010;0.11;1.2;1.25;20.67;1;326380000;0;0.04;0.04;0.09;0.09;0.09;7.56;23.26;1.19;0.59;0;0;0;29.61;29.61;0;0;50.16;50.16;0;8.7;2.23;8.7;7.02;2.03;7.02;9.7;2.37;9.7;0.53;225.79;0;0;0;0;0;0;0;0;0;0;377032;157856;0.971778
SMM;Summit Resources Ltd (Australia);31/10/2010;0.01;0.13;0.12;30;0.59;28340000;0;0;0;0;0;0;0;0;0.22;0;33.2;0;0;0;0;0;0;0;0;0;2.6;1.38;2.6;2.59;1.37;2.59;2.6;1.39;2.6;1.41;26.98;0;0;273.44;1985.94;1985.94;0;44.23;21.01;0;0;13540;7865;0.972052
KKT;Konekt Limited;31/05/2015;0.03;0.54;0.49;80;3.11;39610000;16.01;0;0;0;0;0;0;0;0.17;0;1;0;0;1.31;1.31;0;0;2.58;2.58;17.74;19.24;11.19;19.24;12.45;7.65;12.45;21.98;12.05;21.98;1.79;19.04;0;92.69;9.21;7.67;5.71;65.04;5.08;3.83;65.28;0;1233;42149;0.927646
KIS;King Island Scheelite Limited;31/10/2012;0;0.05;0.06;47.73;5.66;8680000;0;0;0;0;0;0;0;0;0.01;0.01;1.14;0;0;39.85;33.2;0;0;77.72;53.52;46.55;46.09;41.41;65.23;27.45;38.62;46.16;46.09;42.93;65.23;2.06;45.07;0;0;0;0;0;0;0;0;0;0;0;6187;0.954887
D13;Department 13 International Ltd;30/04/2017;0.02;0.12;0.12;5;19.23;22970000;0;0;0;0;0;0;0;0;0.01;0.01;4.9;0;0;0;0;0;0;0;0;0;598.29;0;598.29;470.63;0;470.63;598.29;0;598.29;1.95;107.02;0;0;1010.53;1713.51;1713.51;0;0;0;0;0;1500000;520963;0.910407
JAC;Jacana Minerals Ltd;30/09/2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;121.65;0;121.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.21;0;0;0;0;0;0;0;0;0;0;0;0;0.964198
AEI;Aeris Environmental Ltd;31/10/2013;0.01;0.38;0.41;11.49;10.87;60670000;0;0;0;0;0;0;0;0;0.04;0.04;4.38;0;0;14.37;14.37;0;0;18.56;18.56;24.14;35.81;110.88;35.81;25.77;50.91;25.77;35.86;280.62;35.86;0.55;80.76;0;74.58;168.83;173.53;149.91;0;9.65;0.17;0;0;0;25675;0.946667
CDH;ChongHerr Investments Ltd;31/05/2014;0;0.01;0.01;47.06;0.49;1180000;6;0;0;0;0;0;0;0;0.02;0;0.89;2.41;1.59;9.62;8.4;3.19;2.07;12.73;10.92;1.84;6.98;11.68;1.04;5.63;10.11;0.84;7.65;12.92;1.15;0;8.91;0;45.67;34.35;16.4;16.4;29.31;15.48;11.07;31.28;28.94;0;0;0.937902
DAF;Discovery Africa Ltd;31/07/2010;0;0.01;0.01;33.33;0.86;1610000;0;0;0;0;0;0;0;0;0.01;0.01;8.31;0;0;0;0;0;0;0;0;0;2.18;85.9;2.18;1.78;80.86;1.78;2.18;85.45;2.18;1.39;119.68;0;0;58535.77;58535.77;2145.98;0;0;0;0;0;0;28629;0.973787
PIR;Papillon Resources Limited;31/03/2015;0.02;0;1.47;37.96;4.7;0;0;0;0;0;0;0;0;0;0.32;0.12;8.3;0;0;0;0;0;0;0;0;0;7.72;10.03;7.72;7.26;9.22;7.26;7.72;9.93;7.72;1.32;0;0;0;352.03;492.23;492.23;0;95.25;0;0;0;0;2410000;0.929371
WLL;Wellcom Group Limited;31/03/2018;0.28;5.3;5.06;5.05;3.16;206980000;18.71;0.14;0.14;0.22;0.22;0.22;4.27;8.23;1.67;0.2;1.55;0.16;0.16;0.29;0.29;0.22;0.22;0.4;0.4;109.78;16.67;15.67;16.67;12.58;12.43;12.58;17.24;16.02;17.24;0.11;18.38;0;54.68;12.01;10.29;7.11;3.96;22.24;16.49;3.96;6.99;4388;5751;0.903107
CXM;Centrex Metals Limited;31/03/2013;0.02;0.06;0.07;3.17;0.6;20510000;0;0;0;0;0;0;0;0;0.11;0.09;58.82;0;0;0;0;0;0;0;0;0;13.48;5.82;13.48;13.32;5.59;13.32;13.57;6.15;13.57;0.7;84.06;0;0;9161.48;9900.23;8282.78;0;75.93;0;0;0;0;29712;0.948031
FTZ;Fertoz Ltd;31/08/2015;0.04;0.12;0.14;20;2.39;11350000;0;0;0;0;0;0;0;0;0.05;0;0.75;0;0;0.07;0.07;0;0;0.08;0.08;49.63;75.41;61.54;75.41;66.61;55.14;66.61;71.99;59.84;71.99;0.64;80.59;0;20.9;785.17;785.31;801.13;0;0;0;0;0;0;30437;0.930212
RHP;Rhipe Ltd;31/07/2015;0;0.6;0.87;54.44;1.99;82270000;0;0;0;0;0;0;0;0;0.3;0.11;1.6;0;0;0;0;0;0;0;0;0;0.32;2.06;0.32;0.18;0.76;0.18;0.33;2.17;0.33;0.24;88.13;0;19.5;1.14;0.8;0.09;0;23.67;0.33;0;0;8769;125367;0.931286
CA8;CoAssets Ltd;31/07/2018;0.01;0.2;0;0;5.87;17290000;0;0;0;0;0;0;0;0;0.03;0.05;1.36;0;0;0;0;0;0;0;0;0;0;0;137.16;0;0;44.79;0;0;133.59;0;26.03;0;0;135.85;138.31;125.88;0;0;0;0;0;15020;7178;0.904494
ISH;Ishine International Resources Ltd;30/09/2011;0;0.02;0.08;0;0;3760000;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;710.94;0;0;1012.01;96.42;0;113.17;0;0;1012.01;0;110.4;0;0;6632.35;6666.34;2940.8;0;0;0;0;0;11000;243521;0.967757
RNE;Renu Energy Ltd;30/04/2011;0.02;0.01;0.02;48;0.43;7320000;0;0;0;0;0;0;0;0;0.03;0.03;4.62;0;0;0;0;0;0;0;0;35.91;50.27;42.26;50.27;38.65;37.23;38.65;51.03;44.32;51.03;1.13;467.75;0;0;909.81;1434.33;1057.26;0;16.88;0.15;0;0;127235;296015;0.968082
CAJ;Capitol Health Ltd;31/03/2010;0.01;0.12;0.14;47.92;0.77;62770000;0;0;0.01;0;0.01;0;10;3.09;0.16;0.03;0.93;46.33;46.33;48.59;48.59;116.25;116.25;121.93;121.93;1.97;2.64;3.06;2.64;2.31;2.58;2.31;5.25;5;5.25;1.65;477.78;0;96.19;13.59;2.57;2.96;0;28.48;0;0;0;467957;976809;0.977892
GNV;Green Invest Ltd.;28/02/2014;0.02;0.03;0;0;0;2780000;0;0;0;0;0;0;0;0;0.02;0;0.54;0;0;59.51;59.51;0;0;0;0;16.82;0;87.21;0;61.63;37.95;61.63;0;87.81;0;0;73.98;0;99.88;428.41;458.63;485.9;0;41.2;0;0;0;0;0;0.94206
TWR;Tower Limited (Australia);30/11/2012;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27399;45092;0.960328
WBC;Westpac Banking Corp;31/01/2013;2.18;31.77;30.59;2.39;1.82;1.07E+11;14.59;0.94;0.94;1.88;1.88;1.88;5.94;5402;17.39;8.07;0;0;0;22.65;22.65;285.32;319.52;327.01;327.03;0;0;0;0;0.9;0.97;0.9;13.38;14.71;13.38;1.43;3342.31;0;0;91.57;50.72;35.55;1.28;3.54;5.81;0.39;2.84;6610000;4300000;0.951934
ATPN;ATLASPEARL DEF;31/10/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.907035
HOR;Horseshoe Metals Ltd;30/06/2017;0.01;0.02;0.02;5.88;2.03;3310000;0;0;0;0;0;0;0;0;0.01;0;0.08;0;0;8.45;2.29;0;0;42.14;9.6;0;25.11;32.91;23.62;22.67;31.46;21.53;76.13;57.73;72.22;2.83;121.3;0;0;1008.43;2511.13;2511.13;0;16.85;0;0;0;876015;87720;0.916536
